company_id,year,previous_pattern,new_pattern
TVSMOTOR,2019,Growth Funded by Debt,Pre-Revenue
TVSMOTOR,2020,Pre-Revenue,Growth Funded by Debt
TVSMOTOR,2022,Growth Funded by Debt,Pre-Revenue
ULTRACEMCO,2014,Growth Funded by Debt,Reinvestor
ULTRACEMCO,2018,Reinvestor,Shareholder Returns
ULTRACEMCO,2020,Shareholder Returns,Reinvestor
ULTRACEMCO,2022,Reinvestor,Shareholder Returns
ULTRACEMCO,2023,Shareholder Returns,Reinvestor
UNIONBANK,2014,Pre-Revenue,Growth Funded by Debt
UNIONBANK,2015,Growth Funded by Debt,Pre-Revenue
UNIONBANK,2016,Pre-Revenue,Reinvestor
UNIONBANK,2017,Reinvestor,Pre-Revenue
UNIONBANK,2018,Pre-Revenue,Growth Funded by Debt
UNIONBANK,2019,Growth Funded by Debt,Pre-Revenue
UNIONBANK,2021,Pre-Revenue,Reinvestor
UNITDSPR,2014,Reinvestor,Pre-Revenue
UNITDSPR,2015,Pre-Revenue,Distress Signal
UNITDSPR,2016,Distress Signal,Shareholder Returns
UNITDSPR,2017,Shareholder Returns,Reinvestor
UNITDSPR,2018,Reinvestor,Shareholder Returns
UNITDSPR,2019,Shareholder Returns,Reinvestor
UNITDSPR,2024,Reinvestor,Shareholder Returns
VBL,2015,Growth Funded by Debt,Reinvestor
VBL,2016,Reinvestor,Growth Funded by Debt
VBL,2018,Growth Funded by Debt,Reinvestor
VBL,2019,Reinvestor,Growth Funded by Debt
VBL,2020,Growth Funded by Debt,Reinvestor
VBL,2023,Reinvestor,Growth Funded by Debt
VEDL,2014,Growth Funded by Debt,Reinvestor
VEDL,2017,Reinvestor,Shareholder Returns
VEDL,2019,Shareholder Returns,Reinvestor
WIPRO,2018,Reinvestor,Shareholder Returns
WIPRO,2022,Shareholder Returns,Growth Funded by Debt
WIPRO,2023,Growth Funded by Debt,Reinvestor
WIPRO,2024,Reinvestor,Shareholder Returns
ZOMATO,2021,Liquidating Assets,Pre-Revenue
ZOMATO,2023,Pre-Revenue,Distress Signal
ZOMATO,2024,Distress Signal,Reinvestor
ZYDUSLIFE,2014,Growth Funded by Debt,Reinvestor
ZYDUSLIFE,2017,Reinvestor,Growth Funded by Debt
ZYDUSLIFE,2020,Growth Funded by Debt,Reinvestor
ZYDUSLIFE,2023,Reinvestor,Shareholder Returns
ZYDUSLIFE,2024,Shareholder Returns,Reinvestor
